fNo.       mw1            mw2        best1.x[0]     best1.theta     best2.x[0]   best2.theta   t/frame
317     0.002503104     0.001834207     310.023     32.706    226.435     149.699    0.140000
318     0.002618246     0.001790473     311.511     32.666    217.660     149.153    0.130000
319     0.002288490     0.001718727     314.972     33.514    215.862     148.957    0.140000
320     0.002091371     0.001645868     314.245     32.665    221.017     149.938    0.130000
321     0.002716780     0.001688144     318.057     33.293    218.410     149.696    0.130000
322     0.002360198     0.001637968     315.963     32.842    216.063     149.849    0.140000
323     0.002636058     0.001718950     318.510     33.072    219.672     149.963    0.140000
324     0.002658445     0.001709373     321.351     33.693    215.382     149.887    0.120000
325     0.002489016     0.001599417     317.408     32.697    217.509     149.735    0.130000
326     0.002341887     0.001700674     318.565     32.660    216.993     149.142    0.130000
327     0.002239119     0.001659012     319.840     33.513    219.770     149.658    0.120000
328     0.002443637     0.001738253     319.885     32.971    219.772     149.849    0.120000
329     0.002596868     0.001632818     319.548     33.543    258.999     149.725    0.140000
330     0.002444937     0.001688927     317.392     33.162    257.858     149.297    0.140000
331     0.002238103     0.001592964     319.085     33.300    260.077     149.770    0.130000
332     0.002551650     0.001627568     319.022     33.309    259.872     149.159    0.140000
333     0.002109295     0.001670911     319.845     33.672    259.931     149.900    0.130000
334     0.002739918     0.001615034     319.747     33.207    259.399     149.290    0.130000
335     0.002185908     0.001701264     321.863     33.706    260.611     149.892    0.140000
336     0.002619998     0.001604108     322.499     33.757    260.098     147.701    0.120000
337     0.001737998     0.001614689     323.328     33.765    260.954     147.507    0.140000
338     0.001629681     0.001608144     325.209     34.043    260.586     148.528    0.130000
339     0.002013467     0.001627243     326.759     34.049    261.223     149.749    0.130000
340     0.002471078     0.001594518     325.845     33.663    258.490     149.685    0.140000
341     0.002593456     0.001609095     327.366     33.896    262.340     148.838    0.130000
342     0.002151314     0.001650242     329.664     34.049    256.651     149.944    0.140000
343     0.002495186     0.001559182     329.686     34.301    261.648     148.825    0.130000
344     0.002039678     0.001568493     326.384     33.453    262.764     149.034    0.120000
345     0.002045686     0.001612037     322.641     32.226    263.120     149.742    0.140000
346     0.002465875     0.001718432     327.021     33.713    259.063     149.819    0.130000
347     0.002492259     0.001725002     326.467     33.720    265.504     149.418    0.130000
